215,235,195
215,235,195
235,215,195
235,215,195
235,215,195
235,215,195
235,215,195
235,215,195
235,215,175
235,215,195
235,215,195
240,230,220
240,230,220
240,230,220
240,230,220
240,230,220
240,230,220
240,230,250
240,250,230
240,250,230
240,250,230
247.5,242.5,237.5
247.5,242.5,237.5
247.5,242.5,237.5
247.5,242.5,252.5
247.5,252.5,242.5
252.5,247.5,242.5
252.5,247.5,242.5
252,250,248
252.5,253.5,251.5
253.5,252.5,250.5
254.75,252.75,253.75
255.1,255.9,255.3
255.25,255.75,NA
255,NA,NA
255,NA,NA
